covariate,slope,p_value
Intercept,-1.7662809227771283,0.0
Number iHS data points,0.31524642782455664,0.0
Regulatory density (ChIP-seq),0.5941527302182588,3.4490035900613947e-06
Regulatory density in immune cells (ChIP-seq),-0.050214604818683325,0.6012139613329575
Regulatory density in testis (ChIP-seq),-1.0321339957027071,0.0
Coding density,0.5338763861752079,8.708443168026214e-06
Density of conserved elements,0.37838408188405365,7.738254481637341e-13
GC-content,0.7439513123381001,1.3501931794834832e-08
Gene expression,-0.335192631775156,9.699445159716547e-06
Gene expression in testis,-0.03188197680177872,0.5456121872124651
Gene expression in immune cells,0.407706417818027,6.872486468800787e-09
Gene length,-0.04693146934462831,0.2841495942133704
Gene number,-0.5205498807571824,1.284772314757987e-06
Number PPIs,-0.05011782416376988,0.1949936419374999
Recombination rate,-2.7982650729809886,0.0
Regulatory density (DNaseI),-0.6094779153254897,5.450210477631057e-05
Distance to VIPs,-0.3367641773914822,8.448797217397441e-14
