covariate	slope	p_value
Intercept	-1.3763211737187844	0.0
Number iHS data points	-0.3351938302698158	0.0
Regulatory density (ChIP-seq)	-0.039976322079309505	0.6033429411606146
Regulatory density in immune cells (ChIP-seq)	-0.19789516091113904	0.007980969845165053
Regulatory density in testis (ChIP-seq)	-0.04731922550451368	0.3233137305125251
Coding density	0.08325751975855271	0.170930380835161
Density of conserved elements	-0.05852804156574576	0.22483057988199895
GC-content	-0.17994792878906415	0.02905505452347379
Gene expression	-0.12740221325692871	0.05276084040673268
Gene expression in testis	0.16731516062598042	0.00016690495817694995
Gene expression in immune cells	0.3628025360143128	2.180394642614658e-09
Gene length	-0.009563061232816741	0.7738611892153698
Gene number	0.032435033695525986	0.5771136265604709
Number PPIs	0.02152720981122668	0.4774144375827619
Recombination rate	-1.2900675051357708	0.0
Regulatory density (DNaseI)	-0.08896026753411408	0.37504455776594137
Distance to VIPs	-0.04587829604717698	0.13480453095607148
