"gene_id"	"tfbs_50kb"	"tfbs_100kb"	"tfbs_200kb"	"tfbs_500kb"	"tfbs_1000kb"
"ENSG00000000419"	0.1618	0.16422	0.24835	0.22263	0.242962
"ENSG00000000457"	0.1225	0.0855	0.078075	0.06498	0.067605
"ENSG00000000460"	0.09824	0.07737	0.0689	0.07728	0.069715
"ENSG00000000938"	0.36622	0.38611	0.34432	0.24652	0.200156
"ENSG00000000971"	0.0376	0.03315	0.024675	0.02461	0.03206
"ENSG00000001036"	0.06044	0.0772	0.093075	0.09737	0.086045
"ENSG00000001084"	0.1137	0.0931	0.1037	0.119544	0.112685
"ENSG00000001167"	0.12572	0.13866	0.151445	0.12937	0.16629
"ENSG00000001460"	0.21152	0.22324	0.2088	0.18398	0.182195
"ENSG00000001461"	0.11952	0.13415	0.181345	0.172488	0.196775
"ENSG00000001561"	0.0345	0.04145	0.054525	0.06682	0.076455
"ENSG00000001617"	0.4717	0.428	0.363025	0.26459	0.26723
"ENSG00000001626"	0.0466	0.03535	0.04635	0.05278	0.06593
"ENSG00000001629"	0.0158	0.02545	0.049425	0.05442	0.084
"ENSG00000001630"	0.0823	0.0575	0.0479	0.05418	0.06041
"ENSG00000001631"	0.0508	0.0644	0.063575	0.05239	0.069186
"ENSG00000002016"	0.0819	0.1457	0.099	0.09879	0.137785
"ENSG00000002330"	0.40494	0.40205	0.37675	0.30292	0.3147
"ENSG00000002549"	0.1339	0.16154	0.12908	0.0946	0.074815
"ENSG00000002587"	0.1486	0.1096	0.09795	0.07449	0.058125
"ENSG00000002726"	0.1904	0.16685	0.16045	0.22671	0.240628
"ENSG00000002745"	0.1242	0.10835	0.100675	0.076702	0.065475
"ENSG00000002746"	0.05234	0.09145	0.08464	0.11358	0.113885
"ENSG00000002822"	0.4887	0.45208	0.4422	0.395366	0.36883
"ENSG00000002834"	0.36796	0.295	0.207525	0.22918	0.23698
"ENSG00000002919"	0.2048	0.16477	0.196625	0.182196	0.232057
"ENSG00000002933"	0.1788	0.13539	0.145145	0.19313	0.245774
"ENSG00000003056"	0.0846	0.08485	0.069955	0.07313	0.078515
"ENSG00000003137"	0.4446	0.28385	0.195675	0.13536	0.138575
"ENSG00000003147"	0.0822	0.08755	0.097175	0.07811	0.06676
"ENSG00000003249"	0.371	0.3314	0.265575	0.187024121550116	NA
"ENSG00000003393"	0.0349	0.0859	0.107825	0.11999	0.117925
"ENSG00000003400"	0.11868	0.136	0.1764	0.11554	0.10429
"ENSG00000003402"	0.26336	0.22495	0.170215	0.10175	0.10551
"ENSG00000003436"	0.084	0.10275	0.090055	0.059478	0.04622
"ENSG00000003509"	0.0512	0.06665	0.10005	0.09629	0.114464
"ENSG00000003756"	0.24116	0.2161	0.23891	0.253954	0.2633
"ENSG00000003987"	0.1221	0.09505	0.07065	0.092364	0.10327
"ENSG00000003989"	0.0653	0.1193	0.12345	0.12431	0.10795
"ENSG00000004059"	0.2158	0.15705	0.124725	0.08918	0.09703
"ENSG00000004139"	0.3093	0.2614	0.197195	0.20452	0.181641
"ENSG00000004142"	0.2923	0.25055	0.19195	0.20352	0.18072
"ENSG00000004399"	0.4864	0.4585	0.330375	0.21799	0.18356
"ENSG00000004455"	0.1862	0.1934	0.2151	0.21487	0.209575
"ENSG00000004468"	0.0545	0.1022	0.1115	0.1078	0.1092
"ENSG00000004478"	0.19754	0.1915	0.15195	0.192924	0.239492
"ENSG00000004487"	0.0588	0.09171	0.124075	0.169028	0.203345
"ENSG00000004534"	0.0639	0.0535	0.073825	0.230436	0.246377
"ENSG00000004660"	0.3098	0.29546	0.288555	0.23988	0.196605
"ENSG00000004700"	0.0605	0.07105	0.058075	0.05104	0.039533
"ENSG00000004766"	0.0475	0.03885	0.033125	0.03115	0.050745
"ENSG00000004776"	0.31022	0.37385	0.27237	0.25343	0.23005
"ENSG00000004777"	0.39324	0.31135	0.294525	0.25255	0.221385
"ENSG00000004779"	0.0776	0.0745	0.130125	0.133188	0.11377
"ENSG00000004799"	0.1202	0.11175	0.08015	0.06794	0.060874
"ENSG00000004809"	0.03732	0.09075	0.126355	0.095262	0.080165
"ENSG00000004838"	0.37032	0.37525	0.368425	0.35839	0.237675
"ENSG00000004846"	0.0328	0.0497	0.083915	0.06544	0.070095
"ENSG00000004864"	0.0815	0.0666	0.070825	0.06351	0.0568
"ENSG00000004866"	0.0909	0.101	0.098375	0.09589	0.088925
"ENSG00000004897"	0.0877	0.09355	0.117965	0.12038	0.129345
"ENSG00000004939"	0.3578	0.31585	0.336	0.2491	0.22556
"ENSG00000004948"	0.0041	0.00795	0.028875	0.02817	0.047875
"ENSG00000004975"	0.39538	0.29644	0.289505	0.288512	0.2204
"ENSG00000005001"	0.2568	0.27814	0.290975	0.2966	0.258185
"ENSG00000005007"	0.41	0.32015	0.3374	0.30261	0.301615
"ENSG00000005020"	0.038	0.0667	0.0535	0.067068	0.16959
"ENSG00000005059"	0.0538	0.05363	0.070075	0.0673	0.063
"ENSG00000005073"	0.6588	0.57375	0.5206	0.24426	0.15902
"ENSG00000005075"	0.2171	0.19826	0.135	0.13588	0.138426
"ENSG00000005100"	0.1205	0.138	0.11925	0.10962	0.11692
"ENSG00000005102"	0.3182	0.24365	0.24505	0.23445	0.221023
"ENSG00000005108"	0.041	0.03475	0.036075	0.04298	0.038585
"ENSG00000005156"	0.1489	0.1132	0.12355	0.124584	0.119605
"ENSG00000005175"	0.0528	0.0877	0.190525	0.17763	0.169456
"ENSG00000005187"	0.0328	0.0599	0.05279	0.07334	0.06226
"ENSG00000005189"	0.0888	0.1051	0.11945	0.07846	0.071565
"ENSG00000005194"	0.1577	0.22995	0.2876	0.25326	0.257145
"ENSG00000005238"	0.2008	0.1574	0.12885	0.10201	0.116608
"ENSG00000005243"	0.34814	0.30258	0.26114	0.21296	0.190163
"ENSG00000005249"	0.0617	0.05755	0.092	0.06892	0.07412
"ENSG00000005339"	0.134	0.12565	0.1232	0.19134	0.18157
"ENSG00000005379"	0.474	0.44175	0.31415	0.21302	0.211855
"ENSG00000005381"	0.32308	0.33126	0.34015	0.206142	0.215705
"ENSG00000005421"	0.088	0.08415	0.070775	0.06466	0.05752
"ENSG00000005436"	0.0375	0.08015	0.096025	0.08172	0.0572
"ENSG00000005448"	0.3543	0.31415	0.269525	0.21398	0.20814
"ENSG00000005469"	0.0322	0.07925	0.0633	0.06743	0.048135
"ENSG00000005471"	0.0616	0.08015	0.07415	0.06154	0.052905
"ENSG00000005483"	0.0338	0.06709	0.121645	0.12077	0.08919
"ENSG00000005486"	0.1811	0.1619	0.161805	0.18972	0.163136
"ENSG00000005513"	0.4127	0.3595	0.391125	0.37851	0.370875
"ENSG00000005700"	0.0222	0.06335	0.05695	0.0724	0.070605
"ENSG00000005801"	0.0705	0.0583	0.051375	0.12017	0.171465
"ENSG00000005810"	0.0407	0.03575	0.022375	0.06974	0.073782
