"gene_id"	"coding_density_50kb"	"coding_density_100kb"	"coding_density_200kb"	"coding_density_500kb"	"coding_density_1000kb"
"ENSG00000000457"	0.05694	0.04139	0.032525	0.023134	0.025861
"ENSG00000000460"	0.00074	0.04339	0.03894	0.03897	0.026643
"ENSG00000000938"	0.0318	0.02007	0.034095	0.027268	0.030569
"ENSG00000000971"	0.0272	0.0371	0.02442	0.016906	0.027977
"ENSG00000001460"	0.02054	0.02585	0.022935	0.015344	0.018607
"ENSG00000001461"	0.02902	0.01521	0.01931	0.016834	0.019858
"ENSG00000004455"	0.00978	0.01381	0.01968	0.022082	0.029458
"ENSG00000004487"	0.02826	0.0639	0.040155	0.023118	0.026802
"ENSG00000006555"	0.06018	0.04674	0.044835	0.034438	0.027325
"ENSG00000007341"	0.01734	0.01882	0.019755	0.023542	0.013339
"ENSG00000007908"	0.03666	0.04068	0.030785	0.03897	0.026643
"ENSG00000007923"	0.02378	0.03942	0.05201	0.041908	0.028355
"ENSG00000007933"	0.03342	0.03232	0.02377	0.020682	0.019835
"ENSG00000007968"	0.02628	0.01803	0.022705	0.025414	0.027151
"ENSG00000008118"	0.05626	0.04767	0.02631	0.02446	0.013323
"ENSG00000008128"	0.0554	0.06255	0.072875	0.052526	0.059785
"ENSG00000008130"	0.05028	0.04204	0.03697	0.049078	0.05615
"ENSG00000009307"	0.0565	0.04055	0.03042	0.025564	0.017023
"ENSG00000009709"	0.01138	0.00977	0.008395	0.018254	0.025803
"ENSG00000009724"	0.09326	0.06393	0.062525	0.039386	0.030429
"ENSG00000009780"	0.0231	0.01443	0.015545	0.03319	0.032619
"ENSG00000009790"	0.06828	0.04284	0.03762	0.02567	0.015428
"ENSG00000010072"	0.07924	0.04082	0.03469	0.022362	0.017757
"ENSG00000010165"	0.04234	0.02278	0.01352	0.017958	0.01624
"ENSG00000010803"	0.0143	0.00814	0.0088	0.013696	0.019271
"ENSG00000010932"	0.03198	0.01599	0.02346	0.017648	0.020979
"ENSG00000011007"	0.04794	0.0495	0.034125	0.024892	0.028048
"ENSG00000011009"	0.0657	0.05826	0.0436	0.022264	0.028048
"ENSG00000011021"	0.08374	0.08352	0.060585	0.047106	0.038882
"ENSG00000014914"	0.13196	0.09783	0.058515	0.035576	0.0268305263157895
"ENSG00000016490"	0.0549	0.04833	0.044435	0.022454	0.014773
"ENSG00000016602"	0.05736	0.02868	0.028065	0.02351	0.014162
"ENSG00000018625"	0.0654	0.08823	0.07002	0.058424	0.038763
"ENSG00000020129"	0.05882	0.04029	0.02733	0.033498	0.030097
"ENSG00000020633"	0.01298	0.01309	0.00828	0.004142	0.012561
"ENSG00000021852"	0.03678	0.02498	0.02319	0.016794	0.010188
"ENSG00000023572"	0.03438	0.03901	0.031115	0.013694	0.007963
"ENSG00000023902"	0.031	0.01682	0.020275	0.0354	0.039195
"ENSG00000023909"	0.05496	0.03117	0.01605	0.021012	0.018414
"ENSG00000024526"	0.04872	0.03564	0.02019	0.008076	0.006481
"ENSG00000025800"	0.02518	0.03283	0.051325	0.03899	0.036641
"ENSG00000026751"	0.02016	0.01214	0.02523	0.01831	0.042337
"ENSG00000027644"	0.1024	0.07621	0.085025	0.06588	0.047706
"ENSG00000027869"	0.0453	0.06918	0.07561	0.073846	0.049308
"ENSG00000028137"	0.02794	0.01947	0.04334	0.042686	0.03866
"ENSG00000031698"	0.05288	0.12473	0.08157	0.045342	0.047315
"ENSG00000033122"	0.00128	0.00233	0.00309	0.009252	0.01017
"ENSG00000034971"	0.0303	0.01515	0.029375	0.025832	0.020081
"ENSG00000035687"	0.02742	0.01835	0.01185	0.00965	0.010346
"ENSG00000036549"	0.03056	0.02354	0.021775	0.015874	0.016009
"ENSG00000037637"	0.01004	0.02172	0.03192	0.029898	0.0378903010153904
"ENSG00000040487"	0.04682	0.03596	0.03641	0.047692	0.034595
"ENSG00000041988"	0.0741	0.07865	0.0612	0.042576	0.031513
"ENSG00000042781"	0.00988	0.01077	0.013365	0.017976	0.01881
"ENSG00000043514"	0.0285	0.02735	0.030175	0.026874	0.040384
"ENSG00000044012"	0.01374	0.01926	0.01056	0.0062	0.008295
"ENSG00000047410"	0.12668	0.12246	0.06585	0.041246	0.032366
"ENSG00000048707"	0.05226	0.04809	0.053265	0.032826	0.03475
"ENSG00000049089"	0.05168	0.03415	0.047065	0.038386	0.026407
"ENSG00000049239"	0.04818	0.02409	0.012045	0.015128	0.019508
"ENSG00000049245"	0.02774	0.04424	0.03409	0.02392	0.012032
"ENSG00000049246"	0.05922	0.04587	0.033415	0.02392	0.012032
"ENSG00000049247"	0.04518	0.03576	0.028585	0.02392	0.014381
"ENSG00000049249"	0.01618	0.01218	0.019375	0.019112	0.017879
"ENSG00000050628"	0.00552	0.00276	0.00825	0.005354	0.002802
"ENSG00000052723"	0.01272	0.02527	0.03088	0.024968	0.017023
"ENSG00000053371"	0.05682	0.03823	0.038635	0.047692	0.033911
"ENSG00000053372"	0.05584	0.05044	0.065595	0.047692	0.033529
"ENSG00000054116"	0.01412	0.05605	0.040575	0.040024	0.032946
"ENSG00000054118"	0.0349	0.03637	0.04973	0.043096	0.028279
"ENSG00000054267"	0.03134	0.03328	0.026595	0.0205911111111111	0.0132947368421053
"ENSG00000054277"	0.05144	0.0461	0.02934	0.023496	0.013476
"ENSG00000054282"	0.00286	0.00917	0.009045	0.01623	0.008966
"ENSG00000054392"	0.00072	0.00187	0.003885	0.005202	0.006439
"ENSG00000054523"	0.05948	0.05176	0.035	0.02903	0.023414
"ENSG00000055070"	0.0166	0.02159	0.02024	0.032236	0.0391442105263158
"ENSG00000055732"	0.03366	0.0215	0.028515	0.023992	0.016309
"ENSG00000057252"	0.029	0.02028	0.015205	0.022244	0.018758
"ENSG00000057468"	0.0105	0.02192	0.0253	0.012268	0.006381
"ENSG00000057757"	0.0585	0.05826	0.044385	0.022264	0.028048
"ENSG00000058085"	0.06514	0.03863	0.04035	0.018828	0.02362
"ENSG00000058453"	0	0	0.02576	0.0314622222222222	0.0291094736842105
"ENSG00000058668"	0.03598	0.03579	0.02563	0.025852	0.020719
"ENSG00000058673"	0.0475	0.05652	0.03823	0.021556	0.022714
"ENSG00000058799"	0.02672	0.0267	0.029	0.01744	0.017427
"ENSG00000058804"	0.0269	0.02025	0.016805	0.016432	0.017671
"ENSG00000059588"	0.04514	0.04866	0.02728	0.016972	0.008486
"ENSG00000060642"	0.10414	0.06916	0.058875	0.04054	0.031947
"ENSG00000060656"	0.05326	0.04377	0.027935	0.018624	0.0136976470588235
"ENSG00000060688"	0.0273	0.01585	0.016185	0.011086	0.024248
"ENSG00000060718"	0.02898	0.0282	0.021955	0.011232	0.00591157894736842
"ENSG00000064703"	0.06554	0.04351	0.02453	0.012238	0.014243
"ENSG00000064886"	0.03482	0.03275	0.028815	0.021348	0.016461
"ENSG00000065135"	0.0213	0.03903	0.06467	0.040362	0.044075
"ENSG00000065183"	0.06854	0.05588	0.041465	0.022214	0.013342
"ENSG00000065243"	0.0226	0.022	0.01879	0.014272	0.015893
"ENSG00000065526"	0.03438	0.12548	0.070395	0.06253	0.047418
"ENSG00000065600"	0.024	0.02394	0.015225	0.011234	0.014817
"ENSG00000065978"	0.02772	0.03628	0.036505	0.030638	0.02099
"ENSG00000066027"	0.01404	0.01633	0.013535	0.008768	0.013233
"ENSG00000066056"	0.0703	0.07713	0.060635	0.053656	0.040037
"ENSG00000066135"	0.05682	0.03195	0.04328	0.035626	0.047307
"ENSG00000066136"	0.00774	0.01606	0.01824	0.018136	0.026102
"ENSG00000066185"	0.04128	0.03077	0.017895	0.016102	0.01986
"ENSG00000066279"	0.1543	0.11154	0.07575	0.041306	0.031269
"ENSG00000066294"	0.02076	0.01087	0.01539	0.021772	0.037523
"ENSG00000066322"	0.0858	0.06926	0.1047	0.061324	0.037761
"ENSG00000066557"	0.02732	0.02012	0.0219	0.020622	0.011594
"ENSG00000067208"	0.00726	0.01284	0.0105	0.011724	0.016149
"ENSG00000067334"	0.0568	0.03117	0.015585	0.021092	0.018414
"ENSG00000067533"	0.0142	0.01195	0.007215	0.00498	0.002571
"ENSG00000067606"	0.00172	0.00663	0.02917	0.029074	0.043733
"ENSG00000067704"	0.05258	0.04926	0.04613	0.028682	0.015403
"ENSG00000069248"	0.05388	0.04943	0.034245	0.030868	0.015434
"ENSG00000069275"	0.01962	0.01593	0.025105	0.0285319639346485	0.0232235294117647
"ENSG00000069424"	0.00696	0.01553	0.038145	0.037006	0.028797
"ENSG00000069702"	0.0037	0.00323	0.012185	0.01175	0.019274
"ENSG00000069712"	0.0846	0.0479	0.035495	0.027212	0.018607
"ENSG00000069812"	0.0322	0.05517	0.04395	0.054924	0.037715
"ENSG00000070759"	0.00318	0.0043	0.040175	0.030946	0.02615
"ENSG00000070785"	0.01	0.01083	0.046115	0.04243	0.02963
"ENSG00000070831"	0.01684	0.01585	0.01941	0.035218	0.028795
"ENSG00000070886"	0.06382	0.03191	0.045745	0.020006	0.018947
"ENSG00000072694"	0.0162	0.01935	0.02628	0.02189	0.027945
"ENSG00000073754"	0.00056	0.01075	0.01929	0.01738	0.01887
"ENSG00000073756"	0.0363	0.01815	0.009075	0.006228	0.018941
"ENSG00000074800"	0.0261	0.01305	0.011575	0.013914	0.011485
"ENSG00000074964"	0.04412	0.032	0.02033	0.013472	0.01326
"ENSG00000075151"	0.01428	0.01477	0.012655	0.015906	0.021387
"ENSG00000075391"	0.0051	0.00255	0.00134	0.010386	0.009418
"ENSG00000075945"	0.01914	0.02194	0.01232	0.01885	0.021605
"ENSG00000076258"	0.03354	0.02792	0.01638	0.029558	0.023096
"ENSG00000076321"	0.03186	0.01909	0.02341	0.030998	0.017049
"ENSG00000076356"	0.0027	0.00927	0.025275	0.013962	0.00996
"ENSG00000076864"	0.0313	0.02566	0.030895	0.044128	0.030147
"ENSG00000077152"	0.04444	0.03073	0.02162	0.021032	0.026314
"ENSG00000077157"	0.01562	0.02158	0.01339	0.015474	0.024639
"ENSG00000077254"	0.05022	0.02841	0.02632	0.024206	0.015244
"ENSG00000077522"	0.03232	0.02771	0.020505	0.029748	0.016456
"ENSG00000077549"	0.0018	0.00416	0.010145	0.027486	0.031116
"ENSG00000077585"	0.0164	0.02066	0.013755	0.01349	0.025655
"ENSG00000078369"	0.00406	0.00916	0.033675	0.044924	0.046921
"ENSG00000078618"	0.03706	0.04311	0.02991	0.017458	0.01532
"ENSG00000078808"	0.10054	0.07936	0.08029	0.084742	0.068144
"ENSG00000078900"	0.00936	0.02289	0.039725	0.0417017656871975	0.0278458823529412
"ENSG00000079277"	0.02956	0.0314	0.03242	0.02381	0.025087
"ENSG00000079335"	0.00596	0.00761	0.010235	0.011638	0.017058
"ENSG00000079739"	0.02852	0.01989	0.0193	0.012532	0.008176
"ENSG00000080910"	0.02364	0.0178	0.02234	0.041102	0.027772
"ENSG00000081019"	0.043	0.03383	0.038115	0.041816	0.022821
"ENSG00000081026"	0.00234	0.00447	0.005595	0.015946	0.024422
"ENSG00000081237"	0.03644	0.02949	0.02048	0.008998	0.00557
"ENSG00000081248"	0.07598	0.06459	0.05775	0.064628	0.042908
"ENSG00000081277"	0.04488	0.02244	0.06357	0.045472	0.041389
"ENSG00000081692"	0.04044	0.02883	0.02588	0.01359	0.017302
"ENSG00000081721"	0.02364	0.0438	0.02998	0.025544	0.015814
"ENSG00000081870"	0.02776	0.0311	0.024005	0.021808	0.017703
"ENSG00000081985"	0.0257	0.02636	0.023025	0.01279	0.012092
"ENSG00000082482"	0.00236	0.00637	0.00482	0.002632	0.01239
"ENSG00000082497"	0.02142	0.01071	0.008745	0.007718	0.011888
"ENSG00000082512"	0.03348	0.02352	0.016845	0.011582	0.009438
"ENSG00000083444"	0.04858	0.0589	0.04152	0.045962	0.043249
"ENSG00000084070"	0.00782	0.01358	0.02883	0.03465	0.027368
"ENSG00000084072"	0.01664	0.04206	0.0298	0.03004	0.045155
"ENSG00000084073"	0.0348	0.08885	0.04883	0.035868	0.026427
"ENSG00000084623"	0.1153	0.08655	0.056565	0.039472	0.034708
"ENSG00000084628"	0.00438	0.00624	0.009945	0.014898	0.021617
"ENSG00000084636"	0.0977	0.06442	0.06917	0.040812	0.028384
