"gene_id"	"tfbs_50kb"	"tfbs_100kb"	"tfbs_200kb"	"tfbs_500kb"	"tfbs_1000kb"
"ENSG00000000419"	0.14002	0.11307	0.07447	0.089862	0.085103
"ENSG00000000457"	0.06662	0.05065	0.04349	0.034672	0.029886
"ENSG00000000460"	0.0064	0.02889	0.029525	0.03538	0.033328
"ENSG00000000938"	0.34914	0.25109	0.16797	0.120116	0.098024
"ENSG00000000971"	0.02706	0.02363	0.01756	0.007944	0.007415
"ENSG00000001036"	0.05198	0.05052	0.05123	0.031132	0.026233
"ENSG00000001084"	0.06146	0.03073	0.047845	0.051272	0.041671
"ENSG00000001167"	0.10478	0.06672	0.05913	0.051598	0.052005
"ENSG00000001460"	0.09832	0.07168	0.049375	0.045176	0.064306
"ENSG00000001461"	0.0054	0.02978	0.053365	0.045472	0.073879
"ENSG00000001561"	0.04222	0.03819	0.03962	0.03226	0.03115
"ENSG00000001617"	0.06784	0.06153	0.10071	0.087328	0.090335
"ENSG00000001626"	0.03162	0.02391	0.015485	0.032388	0.033699
"ENSG00000001629"	0	0	0.012805	0.028272	0.037907
"ENSG00000001630"	0.06538	0.03269	0.025215	0.02331	0.025698
"ENSG00000001631"	0.05528	0.03869	0.03569	0.025826	0.032692
"ENSG00000002016"	0.0696	0.06356	0.03543	0.051972	0.051612
"ENSG00000002330"	0.2454	0.33749	0.28365	0.13625	0.108945
"ENSG00000002549"	0.10246	0.07166	0.041895	0.03101	0.024356
"ENSG00000002587"	0.08126	0.04063	0.02776	0.011744	0.012102
"ENSG00000002726"	0	0.05157	0.047405	0.085436	0.094362
"ENSG00000002745"	0.08302	0.06806	0.06889	0.045372	0.036287
"ENSG00000002746"	0.01722	0.02976	0.02098	0.033582	0.053896
"ENSG00000002822"	0.02236	0.01507	0.032025	0.034456	0.052539
"ENSG00000002834"	0.0686	0.1409	0.09207	0.088604	0.08146
"ENSG00000002919"	0.11268	0.08392	0.089125	0.082128	0.142525
"ENSG00000002933"	0.08724	0.0579	0.05847	0.059772	0.089829
"ENSG00000003056"	0.04924	0.03127	0.036155	0.02557	0.028238
"ENSG00000003137"	0.19582	0.09791	0.053005	0.025904	0.017972
"ENSG00000003147"	0.06016	0.04783	0.072795	0.06372	0.04892
"ENSG00000003249"	0.10364	0.07497	0.088245	0.0608780956919517	NA
"ENSG00000003393"	0	0.01843	0.028175	0.018976	0.024455
"ENSG00000003400"	0.06468	0.09257	0.12755	0.066388	0.048673
"ENSG00000003402"	0.19318	0.18044	0.121385	0.067042	0.048596
"ENSG00000003436"	0.04916	0.0409	0.037815	0.01758	0.012322
"ENSG00000003509"	0.05126	0.04485	0.05086	0.04454	0.051732
"ENSG00000003756"	0.07204	0.03946	0.03669	0.089342	0.080938
"ENSG00000003987"	0.02646	0.01323	0.006615	0.018186	0.013445
"ENSG00000003989"	0	0.02232	0.015645	0.012826	0.020636
"ENSG00000004059"	0.05988	0.05239	0.055395	0.04246	0.033098
"ENSG00000004139"	0.12548	0.10837	0.072655	0.065826	0.084006
"ENSG00000004142"	0.12758	0.1116	0.074465	0.063694	0.081554
"ENSG00000004399"	0.03992	0.05621	0.04584	0.04347	0.058058
"ENSG00000004455"	0.10052	0.08754	0.10668	0.078146	0.065731
"ENSG00000004468"	0.06076	0.07475	0.057185	0.04357	0.035344
"ENSG00000004478"	0.1073	0.06308	0.063385	0.03801	0.033113
"ENSG00000004487"	0.02194	0.04392	0.045985	0.035938	0.04387
"ENSG00000004534"	0	0.00344	0.03033	0.070064	0.074457
"ENSG00000004660"	0.05496	0.08755	0.085015	0.083588	0.062893
"ENSG00000004700"	0.03688	0.03999	0.019995	0.018298	0.011136
"ENSG00000004766"	0	0.00648	0.02342	0.020016	0.024325
"ENSG00000004776"	0.20636	0.18527	0.11965	0.111826	0.119445
"ENSG00000004777"	0.0669	0.12005	0.129075	0.113804	0.112264
"ENSG00000004779"	0.04626	0.04887	0.06417	0.05239	0.057009
"ENSG00000004799"	0.01184	0.01714	0.04211	0.041484	0.030285
"ENSG00000004809"	0	0	0.02425	0.020852	0.031688
"ENSG00000004838"	0.26358	0.15158	0.126265	0.100972	0.071512
"ENSG00000004846"	0	0.0032	0.0186	0.008632	0.032477
"ENSG00000004864"	0	0.00367	0.01194	0.015636	0.017156
"ENSG00000004866"	0.02758	0.0433	0.053945	0.066226	0.048172
"ENSG00000004897"	0.01168	0.03175	0.03827	0.047302	0.040817
"ENSG00000004939"	0.0483	0.13132	0.15375	0.096736	0.072952
"ENSG00000004948"	0	0	0.01377	0.010442	0.016046
"ENSG00000004975"	0.37524	0.19933	0.198785	0.15448	0.117764
"ENSG00000005001"	0.1064	0.09894	0.14843	0.148338	0.134763
"ENSG00000005007"	0.13762	0.07583	0.07296	0.075286	0.099433
"ENSG00000005020"	0.02118	0.03049	0.019145	0.016978	0.158012
"ENSG00000005059"	0.0184	0.01516	0.028275	0.030136	0.028424
"ENSG00000005073"	0.99864	0.77622	0.70229	0.282538	0.150945
"ENSG00000005075"	0.0385	0.09965	0.101215	0.066154	0.046152
"ENSG00000005100"	0.04626	0.06695	0.0416	0.064274	0.054295
"ENSG00000005102"	0.08768	0.07404	0.071155	0.05653	0.070171
"ENSG00000005108"	0.02498	0.01249	0.006245	0.007204	0.009247
