"gene_id"	"tfbs_50kb"	"tfbs_100kb"	"tfbs_200kb"	"tfbs_500kb"	"tfbs_1000kb"
"ENSG00000000419"	0.08444	0.07574	0.03787	0.02458	0.021877
"ENSG00000000457"	0	0	0	0.00519	0.005935
"ENSG00000000460"	0	0.01352	0.00676	0.004922	0.007047
"ENSG00000000938"	0.08546	0.06567	0.048325	0.03757	0.024272
"ENSG00000000971"	0	0.0101	0.00505	0.00202	0.00101
"ENSG00000001036"	0	0	0.01097	0.004388	0.002194
"ENSG00000001084"	0.02386	0.01193	0.01175	0.011332	0.010164
"ENSG00000001167"	0.02784	0.01392	0.012375	0.00724	0.00865
"ENSG00000001460"	0.06282	0.04412	0.02206	0.014676	0.019604
"ENSG00000001461"	0	0.01271	0.02206	0.020684	0.019604
"ENSG00000001561"	0	0.01913	0.015175	0.008414	0.006274
"ENSG00000001617"	0.05784	0.03334	0.05809	0.030686	0.032602
"ENSG00000001626"	0	0	0	0	0.001082
"ENSG00000001629"	0	0	0	0.010952	0.009308
"ENSG00000001630"	0.044	0.022	0.016525	0.00919	0.009308
"ENSG00000001631"	0	0.01105	0.016525	0.010952	0.009308
"ENSG00000002016"	0.029	0.0145	0.00725	0.007728	0.009149
"ENSG00000002330"	0.0399	0.08216	0.052895	0.025706	0.024785
"ENSG00000002549"	0.07254	0.0567	0.02835	0.01424	0.009315
"ENSG00000002587"	0	0	0	0	0.000947
"ENSG00000002726"	0	0	0.01162	0.026264	0.026861
"ENSG00000002745"	0	0	0.00601	0.004766	0.005199
"ENSG00000002746"	0	0	0.0061	0.007474	0.005964
"ENSG00000002822"	0	0	0	0.001822	0.005098
"ENSG00000002834"	0	0	0.010935	0.014252	0.020396
"ENSG00000002919"	0.019	0.01995	0.028665	0.024954	0.017996
"ENSG00000002933"	0.02384	0.01192	0.01162	0.014816	0.024171
"ENSG00000003056"	0.02528	0.01264	0.022745	0.011046	0.008926
"ENSG00000003137"	0.04452	0.02226	0.01113	0.00634	0.005101
"ENSG00000003147"	0	0.01068	0.00534	0.004374	0.002187
"ENSG00000003249"	0	0	0.017335	0.0119802768708315	NA
"ENSG00000003393"	0	0	0	0.002092	0.002099
"ENSG00000003400"	0	0.02061	0.010305	0.004122	0.010564
"ENSG00000003402"	0.0195	0.00975	0.010305	0.006356	0.010564
"ENSG00000003436"	0.04154	0.02077	0.010385	0.004154	0.002077
"ENSG00000003509"	0	0	0	0.00421	0.004521
"ENSG00000003756"	0.03184	0.01592	0.02242	0.030686	0.030768
"ENSG00000003987"	0.02646	0.01323	0.006615	0.012512	0.007297
"ENSG00000003989"	0	0	0.004485	0.006522	0.010461
"ENSG00000004059"	0.01916	0.00958	0.00479	0.008552	0.005682
"ENSG00000004139"	0	0	0	0.011932	0.031292
"ENSG00000004142"	0	0	0.001125	0.011932	0.031292
"ENSG00000004399"	0	0.00951	0.01519	0.0125	0.019379
"ENSG00000004455"	0.02798	0.02268	0.027055	0.018248	0.018047
"ENSG00000004468"	0	0	0.010505	0.010928	0.00678
"ENSG00000004478"	0.04242	0.02121	0.015495	0.0106	0.010421
"ENSG00000004487"	0	0.01042	0.015795	0.013806	0.016692
"ENSG00000004534"	0	0	0	0.027454	0.029953
"ENSG00000004660"	0.02112	0.03193	0.015965	0.010428	0.009218
"ENSG00000004700"	0	0.01084	0.00542	0.004356	0.003286
"ENSG00000004766"	0	0	0	0	0.001913
"ENSG00000004776"	0.02092	0.02309	0.018235	0.014358	0.014855
"ENSG00000004777"	0	0.01046	0.018235	0.012046	0.013666
"ENSG00000004779"	0.03686	0.03024	0.019635	0.013548	0.01089
"ENSG00000004799"	0	0.01122	0.0286	0.013734	0.009045
"ENSG00000004809"	0	0	0.010105	0.004042	0.007488
"ENSG00000004838"	0.02016	0.02856	0.03773	0.036586	0.020793
"ENSG00000004846"	0	0	0.005115	0.002046	0.001023
"ENSG00000004864"	0	0	0	0.002886	0.002545
"ENSG00000004866"	0	0.01082	0.00541	0.00917	0.004585
"ENSG00000004897"	0	0	0.006305	0.012936	0.009466
"ENSG00000004939"	0	0.03043	0.020335	0.014296	0.017128
"ENSG00000004948"	0	0	0	0	0
"ENSG00000004975"	0	0	0.03574	0.039076	0.038732
"ENSG00000005001"	0.0462	0.03972	0.041945	0.030448	0.023467
"ENSG00000005007"	0.04498	0.02249	0.011245	0.006484	0.019238
"ENSG00000005020"	0	0	0	0.002686	0.010258
"ENSG00000005059"	0	0	0	0.004038	0.002019
"ENSG00000005073"	0.04284	0.04606	0.02303	0.009212	0.00604
"ENSG00000005075"	0	0	0.00959	0.008116	0.004058
"ENSG00000005100"	0.02468	0.01234	0.00617	0.004544	0.006325
"ENSG00000005102"	0.02218	0.035	0.02279	0.02077	0.027664
"ENSG00000005108"	0	0	0	0	0.002532
"ENSG00000005156"	0	0	0.01088	0.009014	0.006946
