"gene_id"	"cons_50kb"	"cons_100kb"	"cons_200kb"	"cons_500kb"	"cons_1000kb"
"ENSG00000000419"	0.09232	0.05961	0.064005	0.040372	0.034218
"ENSG00000000457"	0.04854	0.03664	0.04582	0.039726	0.044227
"ENSG00000000460"	0.01584	0.03513	0.033315	0.044632	0.040182
"ENSG00000000938"	0.14528	0.14285	0.154295	0.12984	0.09626
"ENSG00000000971"	0.00884	0.01322	0.01234	0.012874	0.022736
"ENSG00000001036"	0.03066	0.03045	0.038205	0.038208	0.039541
"ENSG00000001084"	0.01824	0.02487	0.034165	0.023818	0.027103
"ENSG00000001167"	0.11866	0.10182	0.074555	0.040466	0.048945
"ENSG00000001460"	0.04962	0.05368	0.056	0.035422	0.042938
"ENSG00000001461"	0.0392	0.0277	0.03863	0.046102	0.04742
"ENSG00000001561"	0.0399	0.03186	0.032635	0.030168	0.040177
"ENSG00000001617"	0.19296	0.15096	0.136905	0.125334	0.116454
"ENSG00000001626"	0.04824	0.04205	0.04025	0.044012	0.054666
"ENSG00000001629"	0.03736	0.03461	0.052025	0.057136	0.061889
"ENSG00000001630"	0.06692	0.0836	0.07428	0.053248	0.060416
"ENSG00000001631"	0.07594	0.04356	0.04589	0.059932	0.059069
"ENSG00000002016"	0.02228	0.05429	0.07956	0.050442	0.039895
"ENSG00000002330"	0.17042	0.1873	0.15342	0.088552	0.100203
"ENSG00000002549"	0.03182	0.03232	0.025845	0.028402	0.041153
"ENSG00000002587"	0.05364	0.03514	0.030765	0.022886	0.019774
"ENSG00000002726"	0.03008	0.02105	0.01535	0.066436	0.06243
"ENSG00000002745"	0.10026	0.07313	0.054205	0.041056	0.038352
"ENSG00000002746"	0.02182	0.01871	0.01819	0.028066	0.022971
"ENSG00000002822"	0.01816	0.01673	0.01804	0.020002	0.027124
"ENSG00000002834"	0.05258	0.0662	0.05835	0.065866	0.072812
"ENSG00000002919"	0.0761	0.13349	0.163455	0.156658	0.154312
"ENSG00000002933"	0.0148	0.00835	0.015875	0.045546	0.063748
"ENSG00000003056"	0.09468	0.06451	0.04455	0.0436	0.037675
"ENSG00000003137"	0.14446	0.09653	0.073355	0.06486	0.061817
"ENSG00000003147"	0.0482	0.0742	0.05892	0.06287	0.072856
"ENSG00000003249"	0.04824	0.04355	0.039255	0.0276462974053824	NA
"ENSG00000003393"	0.08472	0.06959	0.06185	0.061034	0.063985
"ENSG00000003400"	0.0133	0.01555	0.02177	0.045424	0.046397
"ENSG00000003402"	0.03388	0.02586	0.0313	0.043416	0.044958
"ENSG00000003436"	0.00468	0.01083	0.013365	0.017162	0.014354
"ENSG00000003509"	0.08516	0.07401	0.05538	0.054404	0.051681
"ENSG00000003756"	0.12906	0.09974	0.104035	0.122292	0.124627
"ENSG00000003987"	0.03258	0.03323	0.033365	0.036758	0.036427
"ENSG00000003989"	0.04064	0.0365	0.02684	0.031442	0.038556
"ENSG00000004059"	0.11852	0.07437	0.0654	0.074908	0.085044
"ENSG00000004139"	0.12086	0.09498	0.07519	0.090438	0.100048
"ENSG00000004142"	0.14008	0.10751	0.07108	0.08368	0.0968
"ENSG00000004399"	0.11774	0.08806	0.088615	0.059248	0.044438
"ENSG00000004455"	0.02252	0.03915	0.04677	0.060548	0.066722
"ENSG00000004468"	0.00632	0.00497	0.00503	0.020658	0.023366
"ENSG00000004478"	0.07026	0.05139	0.04204	0.044204	0.042452
"ENSG00000004487"	0.07868	0.09518	0.06289	0.056542	0.070269
"ENSG00000004534"	0.04052	0.05024	0.068935	0.106962	0.125714
"ENSG00000004660"	0.06998	0.05915	0.0681	0.065942	0.058372
"ENSG00000004700"	0.0639	0.0615	0.043365	0.029072	0.027591
"ENSG00000004766"	0.038	0.04172	0.04177	0.040052	0.037894
"ENSG00000004776"	0.17708	0.21337	0.13663	0.1002	0.078217
"ENSG00000004777"	0.16074	0.14884	0.1551	0.104504	0.074454
"ENSG00000004779"	0.05498	0.05672	0.05078	0.04446	0.036641
"ENSG00000004799"	0.05786	0.03937	0.051085	0.044672	0.058863
"ENSG00000004809"	0.01646	0.01463	0.026295	0.039634	0.03998
"ENSG00000004838"	0.2485	0.21447	0.16832	0.137472	0.098242
"ENSG00000004846"	0.02904	0.03744	0.075235	0.062764	0.06905
"ENSG00000004864"	0.06608	0.08135	0.075135	0.088914	0.075641
"ENSG00000004866"	0.02396	0.05997	0.065415	0.064596	0.067379
"ENSG00000004897"	0.06752	0.07488	0.05147	0.046724	0.057919
"ENSG00000004939"	0.06188	0.09625	0.136265	0.12411	0.091626
"ENSG00000004948"	0.02218	0.02909	0.032435	0.027444	0.031338
"ENSG00000004975"	0.31414	0.21014	0.17936	0.157236	0.119767
"ENSG00000005001"	0.01738	0.02014	0.068275	0.063698	0.057531
"ENSG00000005007"	0.10226	0.06764	0.074605	0.055494	0.055369
"ENSG00000005020"	0.1391	0.11402	0.09445	0.103962	0.139717
"ENSG00000005059"	0.01182	0.01297	0.03438	0.033612	0.038378
"ENSG00000005073"	0.35966	0.32181	0.294315	0.16346	0.128372
"ENSG00000005075"	0.08296	0.0636	0.039435	0.042896	0.041222
"ENSG00000005100"	0.0792	0.07308	0.05714	0.036888	0.048118
"ENSG00000005102"	0.0785	0.06158	0.0627	0.067956	0.065946
"ENSG00000005108"	0.04556	0.04282	0.03875	0.045138	0.039976
"ENSG00000005156"	0.0991	0.08187	0.08292	0.064146	0.051779
"ENSG00000005175"	0.0462	0.03979	0.050645	0.050218	0.054668
"ENSG00000005187"	0.0278	0.02952	0.035825	0.045492	0.043883
"ENSG00000005189"	0.05508	0.09156	0.078525	0.057928	0.042969
"ENSG00000005194"	0.05168	0.06419	0.054555	0.04576	0.047784
"ENSG00000005238"	0.19174	0.14009	0.089495	0.082844	0.07936
"ENSG00000005243"	0.13544	0.14768	0.114805	0.147708	0.130842
"ENSG00000005249"	0.01112	0.0197	0.051885	0.045112	0.040715
"ENSG00000005339"	0.0422	0.04816	0.06077	0.04287	0.040922
"ENSG00000005379"	0.1691	0.14167	0.11118	0.106908	0.09038
"ENSG00000005381"	0.07392	0.09928	0.10025	0.100906	0.091365
"ENSG00000005421"	0.01828	0.0306	0.063605	0.049846	0.041759
"ENSG00000005436"	0.03886	0.0287	0.030625	0.034066	0.030345
"ENSG00000005448"	0.10908	0.13712	0.1314	0.09715	0.075069
"ENSG00000005469"	0.03616	0.04265	0.03612	0.03816	0.034134
"ENSG00000005471"	0.06634	0.05629	0.04692	0.032966	0.032822
"ENSG00000005483"	0.05004	0.09952	0.080095	0.050662	0.044599
"ENSG00000005486"	0.0217	0.01417	0.009815	0.019132	0.032084
"ENSG00000005513"	0.04828	0.02827	0.025815	0.037146	0.055626
"ENSG00000005700"	0.07148	0.05583	0.043215	0.037466	0.039628
"ENSG00000005801"	0	0.0089	0.01226	0.012602	0.037315
"ENSG00000005810"	0.06904	0.06794	0.077925	0.060806	0.049018
"ENSG00000005812"	0.1003	0.07106	0.06994	0.064572	0.048138
"ENSG00000005844"	0.04824	0.05703	0.06225	0.10195	0.102222
"ENSG00000005882"	0.1015	0.14337	0.122845	0.089472	0.09984
"ENSG00000005884"	0.11396	0.09374	0.110165	0.091304	0.100031
"ENSG00000005955"	0.11024	0.10007	0.08658	0.06928	0.0706989473684211
"ENSG00000005961"	0.20176	0.1484	0.120405	0.110808	0.097037
"ENSG00000005981"	0.0823	0.07116	0.061255	0.049742	0.050138
"ENSG00000006007"	0.07678	0.07577	0.047595	0.034148	0.034457
"ENSG00000006015"	0.11674	0.07946	0.064555	0.05323	0.055088
"ENSG00000006016"	0.1176	0.07946	0.06438	0.05323	0.055094
"ENSG00000006025"	0.1195	0.10836	0.102235	0.117096	0.113379
"ENSG00000006042"	0.0366	0.0248	0.0343	0.039266	0.047604
"ENSG00000006047"	0.18516	0.19837	0.20586	0.153378	0.124823
"ENSG00000006059"	0.05778	0.07767	0.0572	0.05394	0.06069
"ENSG00000006071"	0.06058	0.08118	0.06559	0.05421	0.062789
"ENSG00000006074"	0.01574	0.01439	0.01055	0.02191	0.0371442105263158
"ENSG00000006075"	0.02384	0.01453	0.00913	0.017356	0.0371789473684211
"ENSG00000006114"	0.12872	0.09295	0.07805	0.065656	0.079592
"ENSG00000006116"	0.03932	0.03493	0.04863	0.04692	0.048121
"ENSG00000006118"	0.11698	0.07778	0.057265	0.03367	0.036822
"ENSG00000006125"	0.05868	0.05984	0.079885	0.060846	0.037962
"ENSG00000006128"	0.02308	0.01551	0.013765	0.020764	0.023529
"ENSG00000006194"	0.07604	0.06631	0.04882	0.042096	0.050344
"ENSG00000006210"	0.02424	0.01705	0.03748	0.047994	0.048357
"ENSG00000006282"	0.21098	0.16501	0.150005	0.10135	0.09637
"ENSG00000006283"	0.20978	0.20191	0.147295	0.105798	0.092474
"ENSG00000006327"	0.12102	0.09592	0.07606	0.05021	0.054218
"ENSG00000006377"	0.304	0.18638	0.129605	0.080604	0.062178
"ENSG00000006432"	0.02922	0.0594	0.0455	0.03819	0.032755
