"gene_id"	"n_genes_50kb"	"n_genes_100kb"	"n_genes_200kb"	"n_genes_500kb"	"n_genes_1000kb"
"ENSG00000000457"	2	3	4	7	12
"ENSG00000000460"	2	4	5	8	13
"ENSG00000000938"	2	3	3	12	21
"ENSG00000000971"	1	1	3	6	10
"ENSG00000001460"	2	3	3	8	13
"ENSG00000001461"	1	2	4	6	14
"ENSG00000004455"	1	2	4	11	20
"ENSG00000004487"	1	3	4	6	16
"ENSG00000006555"	2	4	6	11	13
"ENSG00000007341"	1	3	3	9	10
"ENSG00000007908"	2	4	4	8	13
"ENSG00000007923"	1	3	6	12	19
"ENSG00000007933"	1	3	4	6	8
"ENSG00000007968"	1	3	5	10	21
"ENSG00000008118"	2	2	4	8	9
"ENSG00000008128"	3	4	8	18	43
"ENSG00000008130"	3	4	5	16	40
"ENSG00000009307"	2	4	5	8	10
"ENSG00000009709"	1	1	1	5	7
"ENSG00000009724"	3	4	6	9	11
"ENSG00000009780"	1	2	4	12	25
"ENSG00000009790"	3	4	6	9	10
"ENSG00000010072"	3	3	4	7	12
"ENSG00000010165"	1	2	3	5	6
"ENSG00000010803"	1	1	1	4	10
"ENSG00000010932"	1	2	3	7	9
"ENSG00000011007"	1	5	7	13	21
"ENSG00000011009"	4	5	8	12	21
"ENSG00000011021"	3	5	8	16	19
"ENSG00000014914"	4	8	14	20	30
"ENSG00000016490"	1	2	4	5	8
"ENSG00000016602"	1	1	2	5	9
"ENSG00000018625"	2	4	10	19	29
"ENSG00000020129"	3	4	4	8	12
"ENSG00000020633"	1	1	2	2	12
"ENSG00000021852"	1	3	3	5	6
"ENSG00000023572"	3	4	5	5	7
"ENSG00000023902"	2	2	3	14	36
"ENSG00000023909"	2	2	4	4	6
"ENSG00000024526"	1	2	2	2	4
"ENSG00000025800"	1	3	9	18	25
"ENSG00000026751"	1	3	5	10	37
"ENSG00000027644"	2	5	8	17	25
"ENSG00000027869"	3	5	9	19	26
"ENSG00000028137"	1	3	3	6	17
"ENSG00000031698"	3	3	6	12	28
"ENSG00000033122"	1	1	1	1	5
"ENSG00000034971"	1	1	3	5	9
"ENSG00000035687"	2	3	3	4	8
"ENSG00000036549"	1	1	3	4	9
"ENSG00000037637"	1	1	6	11	20
"ENSG00000040487"	3	4	6	7	16
"ENSG00000041988"	4	5	7	13	19
"ENSG00000042781"	1	1	1	1	3
"ENSG00000043514"	1	2	6	11	20
"ENSG00000044012"	3	3	3	5	8
"ENSG00000047410"	1	3	6	7	9
"ENSG00000048707"	1	1	1	4	16
"ENSG00000049089"	2	3	5	11	17
"ENSG00000049239"	1	2	2	5	13
"ENSG00000049245"	3	3	4	7	7
"ENSG00000049246"	1	4	4	7	7
"ENSG00000049247"	2	2	5	7	8
"ENSG00000049249"	2	2	5	7	9
"ENSG00000050628"	1	1	1	2	3
"ENSG00000052723"	2	2	5	7	10
"ENSG00000053371"	3	5	7	7	15
"ENSG00000053372"	2	5	7	7	15
"ENSG00000054116"	3	4	7	13	19
"ENSG00000054118"	1	2	6	15	18
"ENSG00000054267"	1	1	3	6	8
"ENSG00000054277"	3	4	4	6	9
"ENSG00000054282"	1	1	1	4	4
"ENSG00000054392"	1	1	1	2	4
"ENSG00000054523"	1	1	1	8	14
"ENSG00000055070"	3	3	4	10	20
"ENSG00000055732"	2	3	3	7	11
"ENSG00000057252"	1	2	3	7	11
"ENSG00000057468"	1	1	4	6	6
"ENSG00000057757"	5	5	8	12	21
"ENSG00000058085"	1	2	3	3	11
"ENSG00000058453"	1	1	1	8	16
"ENSG00000058668"	1	1	2	7	14
"ENSG00000058673"	2	4	5	6	14
"ENSG00000058799"	2	4	5	10	17
"ENSG00000058804"	1	2	4	8	18
"ENSG00000059588"	1	1	2	4	4
"ENSG00000060642"	2	3	6	12	21
"ENSG00000060656"	1	1	3	5	6
"ENSG00000060688"	2	3	4	7	13
"ENSG00000060718"	1	1	1	1	1
"ENSG00000064703"	3	4	4	5	11
"ENSG00000064886"	2	3	5	9	15
"ENSG00000065135"	2	4	10	16	28
"ENSG00000065183"	3	3	3	3	5
"ENSG00000065243"	1	1	2	5	10
"ENSG00000065526"	1	2	2	14	28
"ENSG00000065600"	1	3	3	5	12
"ENSG00000065978"	2	4	6	12	17
"ENSG00000066027"	1	2	2	5	11
"ENSG00000066056"	1	6	10	13	19
"ENSG00000066135"	1	2	3	5	22
"ENSG00000066136"	1	1	3	8	16
"ENSG00000066185"	4	4	4	7	17
"ENSG00000066279"	1	3	4	7	11
"ENSG00000066294"	1	3	3	10	27
"ENSG00000066322"	5	6	10	13	16
"ENSG00000066557"	2	3	4	6	6
"ENSG00000067208"	1	1	1	5	10
"ENSG00000067334"	2	3	3	4	6
"ENSG00000067533"	1	2	2	3	4
"ENSG00000067606"	1	1	5	12	27
"ENSG00000067704"	1	3	4	5	7
"ENSG00000069248"	1	3	3	9	9
"ENSG00000069275"	2	3	7	10	15
"ENSG00000069424"	2	2	4	10	15
